,source,device,OS,test,price,booked,state,date_month,date_month_day
86833,Unknown,desktop,windows,0,199,0,PA,April,Sat
143227,Adwords,mobile,iOS,1,299,0,PA,April,Sat
102703,Adwords,mobile,android,0,199,0,NY,May,Sat
161539,Facebook,mobile,android,0,199,0,NY,June,Sat
165819,Unknown,mobile,android,0,199,0,NJ,June,Sat
101757,Bing,mobile,android,0,199,0,PA,April,Sat
58153,Bing,mobile,iOS,0,199,0,NJ,June,Sat
65585,Unknown,mobile,android,0,199,0,NY,June,Sat
153426,Unknown,desktop,windows,0,199,0,PA,June,Sat
92920,Facebook,desktop,windows,0,199,0,NJ,April,Sat
210449,Adwords,mobile,iOS,0,199,0,NY,May,Sat
177290,Unknown,desktop,windows,0,199,0,PA,April,Sat
87832,Google,desktop,windows,0,199,0,NJ,June,Sat
24098,Google,desktop,windows,0,199,0,NY,June,Sat
54532,Facebook,mobile,iOS,1,299,0,PA,June,Sat
130275,Adwords,mobile,iOS,1,299,0,NJ,June,Sat
37559,Bing,mobile,iOS,0,199,0,PA,April,Sat
80543,Facebook,mobile,android,0,199,0,NJ,April,Sat
120870,Adwords,mobile,android,0,199,0,NY,June,Sat
21900,Facebook,mobile,android,1,299,0,PA,June,Sat
128290,Google,mobile,android,0,199,0,PA,April,Sat
80083,Facebook,mobile,iOS,1,299,0,NJ,May,Sat
222660,Google,mobile,iOS,0,199,0,NY,June,Sat
19857,Adwords,mobile,iOS,0,199,0,NY,June,Sat
13176,Other,mobile,android,1,299,0,NJ,June,Sat
104246,Google,mobile,android,1,299,0,NJ,May,Sat
50942,Adwords,mobile,android,1,299,0,NY,June,Sat
1662,Facebook,desktop,windows,0,199,0,PA,June,Sat
11952,Google,desktop,windows,0,199,0,PA,April,Sat
123572,Unknown,mobile,iOS,0,199,0,NJ,April,Sat
192495,Facebook,mobile,android,1,299,0,PA,May,Sat
216620,Google,desktop,windows,0,199,0,NY,April,Sat
165372,Unknown,mobile,android,0,199,0,NJ,May,Sat
127350,Facebook,mobile,other,0,199,0,NY,April,Sat
64962,Bing,desktop,windows,0,199,0,NY,June,Sat
11569,Unknown,mobile,iOS,1,299,0,PA,April,Sat
174948,Adwords,mobile,iOS,1,299,0,PA,April,Sat
57463,Unknown,mobile,other,0,199,0,PA,April,Sat
196191,Facebook,mobile,android,0,199,0,PA,May,Sat
35710,Facebook,mobile,iOS,0,199,0,PA,June,Sat
15092,Facebook,desktop,windows,1,299,0,PA,April,Sat
195684,Facebook,desktop,other,0,199,0,NJ,April,Sat
186447,Other,desktop,windows,1,299,0,NY,May,Sat
27118,Google,mobile,iOS,1,299,0,NY,April,Sat
67625,Facebook,mobile,iOS,0,199,0,PA,April,Sat
144326,Facebook,mobile,iOS,0,199,0,PA,June,Sat
8738,Google,mobile,iOS,1,299,0,NJ,May,Sat
109621,Google,mobile,android,1,299,0,NY,April,Sat
27293,Facebook,mobile,android,1,299,0,PA,May,Sat
137040,Google,mobile,iOS,1,299,0,NJ,May,Sat
97316,Facebook,mobile,iOS,0,199,0,NY,April,Sat
111569,Facebook,mobile,android,1,299,0,NY,April,Sat
224793,Bing,desktop,windows,0,199,0,PA,June,Sat
77945,Other,desktop,windows,0,199,0,NJ,April,Sat
103712,Facebook,desktop,linux,0,199,0,NY,April,Sat
66934,Facebook,mobile,iOS,1,299,0,NJ,April,Sat
77036,Adwords,mobile,android,1,299,0,PA,June,Sat
14234,Other,mobile,android,1,299,0,NY,May,Sat
102262,Facebook,desktop,windows,0,199,0,NY,April,Sat
213895,Adwords,mobile,iOS,0,199,0,PA,June,Sat
130086,Facebook,desktop,windows,0,199,0,NY,June,Sat
131895,Facebook,mobile,android,1,299,0,NY,April,Sat
21974,Adwords,desktop,linux,0,199,0,NY,June,Sat
223752,Google,desktop,windows,0,199,0,PA,April,Sat
28644,Adwords,mobile,android,1,299,0,NY,April,Sat
