ds,y
3/29/2017,598
3/30/2017,1196
3/31/2017,299
4/1/2017,598
4/2/2017,3588
4/3/2017,4186
4/4/2017,5681
4/5/2017,6279
4/6/2017,5083
4/7/2017,5382
4/8/2017,2990
4/9/2017,1495
4/10/2017,6578
4/11/2017,5681
4/12/2017,3887
4/13/2017,4186
4/14/2017,2093
4/15/2017,2093
4/16/2017,4784
4/17/2017,5382
4/18/2017,5980
4/19/2017,7475
4/20/2017,4784
4/21/2017,3588
4/22/2017,4485
4/23/2017,1495
4/24/2017,2691
4/25/2017,6279
4/26/2017,7176
4/27/2017,4186
4/28/2017,4186
4/29/2017,2691
4/30/2017,3887
5/1/2017,3887
5/2/2017,4186
5/3/2017,5083
5/4/2017,3289
5/5/2017,3887
5/6/2017,1495
5/7/2017,2392
5/8/2017,4485
5/9/2017,5382
5/10/2017,4485
5/11/2017,4485
5/12/2017,2691
5/13/2017,2990
5/14/2017,3887
5/15/2017,5083
5/16/2017,3588
5/17/2017,3887
5/18/2017,3289
5/19/2017,4186
5/20/2017,1794
5/21/2017,3887
5/22/2017,4186
5/23/2017,7176
5/24/2017,4784
5/25/2017,5382
5/26/2017,3887
5/27/2017,1196
5/28/2017,3588
5/29/2017,2990
5/30/2017,4485
5/31/2017,5083
6/1/2017,3289
6/2/2017,2990
6/3/2017,2392
6/4/2017,3887
6/5/2017,4186
6/6/2017,3289
6/7/2017,4485
6/8/2017,5980
6/9/2017,4186
6/10/2017,2691
6/11/2017,2392
6/12/2017,6877
6/13/2017,4784
6/14/2017,5382
6/15/2017,4784
6/16/2017,2093
6/17/2017,2691
6/18/2017,2691
6/19/2017,4784
6/20/2017,5083
6/21/2017,3289
6/22/2017,3887
6/23/2017,3887
6/24/2017,3289
6/25/2017,5681
6/26/2017,4784
6/27/2017,7475
6/28/2017,5083
6/29/2017,5382
6/30/2017,2691
7/1/2017,598
